Ticker,Date,Open,High,Low,Close,Adj Close,Volume
FB,5/9/19,187.199997,189.770004,186.259995,188.649994,188.649994,12967000
FB,5/10/19,188.25,190,184.589996,188.339996,188.339996,12578500
FB,5/13/19,183.5,185.429993,180.839996,181.539993,181.539993,16833300
FB,5/14/19,182.520004,183.490005,178.100006,180.729996,180.729996,17628100
FB,5/15/19,180.419998,187.279999,180.020004,186.270004,186.270004,16746900
FB,5/16/19,185.050003,188.580002,185.050003,186.990005,186.990005,12953100
FB,5/17/19,184.839996,187.580002,184.279999,185.300003,185.300003,10485400
FB,5/20/19,181.880005,184.229996,181.369995,182.720001,182.720001,10352000
FB,5/21/19,184.570007,185.699997,183.889999,184.820007,184.820007,7502800
FB,5/22/19,184.729996,186.740005,183.610001,185.320007,185.320007,9213800
FB,5/23/19,182.419998,183.899994,179.669998,180.869995,180.869995,12768800
FB,5/24/19,182.330002,183.630005,180.830002,181.059998,181.059998,8807700
FB,5/28/19,181.539993,184.710007,181.449997,184.309998,184.309998,14843300
FB,5/29/19,183.5,184.559998,181.350006,182.190002,182.190002,12797700
FB,5/30/19,183.080002,183.479996,180.889999,183.009995,183.009995,8581500
FB,5/31/19,180.279999,180.539993,177.160004,177.470001,177.470001,15226500
FB,6/3/19,175,175.050003,161.009995,164.149994,164.149994,56059600
FB,6/4/19,163.710007,168.279999,160.839996,167.5,167.5,46044300
FB,6/5/19,167.479996,168.720001,164.630005,168.169998,168.169998,19758300
FB,6/6/19,168.300003,169.699997,167.229996,168.330002,168.330002,12446400
FB,6/7/19,170.169998,173.869995,168.839996,173.350006,173.350006,16917300
FB,6/10/19,174.75,177.860001,173.800003,174.820007,174.820007,14767900
FB,6/11/19,178.479996,179.979996,176.789993,178.100006,178.100006,15266600
FB,6/12/19,178.380005,179.270004,172.880005,175.039993,175.039993,17699800
FB,6/13/19,175.529999,178.029999,174.610001,177.470001,177.470001,12253600
FB,6/14/19,180.509995,181.839996,180,181.330002,181.330002,16773700
FB,6/17/19,185.009995,189.5,184.410004,189.009995,189.009995,29459900
FB,6/18/19,194,194.529999,187.279999,188.470001,188.470001,37571400
FB,6/19/19,187,188.100006,184.550003,187.479996,187.479996,21417100
FB,6/20/19,190.949997,191.160004,187.639999,189.529999,189.529999,14635700
FB,6/21/19,188.75,192,188.75,191.139999,191.139999,22751200
FB,6/24/19,192.419998,193.979996,191.570007,192.600006,192.600006,15509000
FB,6/25/19,192.880005,193.139999,188.130005,188.839996,188.839996,16750300
FB,6/26/19,189.539993,190.759995,187.309998,187.660004,187.660004,12808600
FB,6/27/19,189.880005,198.880005,188.270004,189.5,189.5,11159000
FB,6/28/19,190.550003,193.199997,189.940002,193,193,16378900
FB,7/1/19,195.210007,195.279999,191.929993,193,193,14181800
FB,7/2/19,193,195,192.710007,195,195,9050000
FB,7/3/19,194.160004,197.399994,194.160004,197.199997,197.199997,10246100
FB,7/5/19,196.179993,197.070007,194.169998,196.399994,196.399994,11164100
FB,7/8/19,195.190002,196.679993,193.639999,195.759995,195.759995,9723900
FB,7/9/19,194.970001,199.460007,194.889999,199.210007,199.210007,14698600
FB,7/10/19,200,202.960007,199.669998,202.729996,202.729996,20571700
FB,7/11/19,203.259995,203.800003,200.210007,201.229996,201.229996,13678500
FB,7/12/19,199.679993,205.300003,199.160004,204.869995,204.869995,15366300
FB,7/15/19,204.25,205.330002,201.820007,203.910004,203.910004,16030300
FB,7/16/19,203.889999,205.470001,203.100006,203.839996,203.839996,12132700
FB,7/17/19,204.179993,204.360001,201.589996,201.800003,201.800003,12083700
FB,7/18/19,200.149994,202.470001,199.380005,200.779999,200.779999,11937900
FB,7/19/19,202.179993,202.330002,198.070007,198.360001,198.360001,12098300
FB,7/22/19,199.910004,202.570007,198.809998,202.320007,202.320007,13589000
FB,7/23/19,202.839996,204.240005,200.960007,202.360001,202.360001,14583700
FB,7/24/19,197.630005,204.809998,197.220001,204.660004,204.660004,32532500
FB,7/25/19,206.699997,208.660004,198.259995,200.710007,200.710007,39889900
FB,7/26/19,200.190002,202.880005,196.25,199.75,199.75,24434000
FB,7/29/19,199,199.630005,195.300003,195.940002,195.940002,16530800
FB,7/30/19,195.389999,198.710007,193.5,197.039993,197.039993,11903600
FB,7/31/19,196.949997,198.759995,192.679993,194.229996,194.229996,14593500
FB,8/1/19,194.169998,198.470001,190.880005,192.729996,192.729996,17777000
FB,8/2/19,191.100006,192.619995,188.070007,189.020004,189.020004,15297000
FB,8/5/19,184.690002,185.669998,179.339996,181.729996,181.729996,23086700
FB,8/6/19,183.690002,185.789993,183.089996,184.509995,184.509995,18035700
FB,8/7/19,183.600006,186.369995,181.220001,185.149994,185.149994,15833200
FB,8/8/19,186.619995,190.339996,184.050003,190.160004,190.160004,14828900
FB,8/9/19,190,190.979996,187.119995,187.850006,187.850006,11058800
FB,8/12/19,186.850006,187.589996,184.460007,185.369995,185.369995,10930900
FB,8/13/19,185.520004,191.380005,185.369995,188.449997,188.449997,13577000
FB,8/14/19,185.800003,185.990005,179.309998,179.710007,179.710007,18903700
FB,8/15/19,180.949997,183.199997,180.029999,182.589996,182.589996,12925900
FB,8/16/19,183.75,185.100006,182.360001,183.699997,183.699997,12654600
FB,8/19/19,186.009995,187.5,184.850006,186.169998,186.169998,9691200
FB,8/20/19,185.449997,186,182.389999,183.809998,183.809998,10083400
FB,8/21/19,185,185.899994,183.139999,183.550003,183.550003,8398200
FB,8/22/19,183.429993,184.110001,179.910004,182.039993,182.039993,10821400
FB,8/23/19,180.839996,183.130005,176.660004,177.75,177.75,17323400
FB,8/26/19,179.399994,180.5,178.240005,180.360001,180.360001,8773600
FB,8/27/19,181.929993,184.039993,181.009995,181.300003,181.300003,14399600
FB,8/28/19,180.529999,181.949997,178.919998,181.759995,181.759995,9386100
FB,8/29/19,183.770004,186.080002,183.470001,185.570007,185.570007,10128700
FB,8/30/19,186.779999,186.800003,183.460007,185.669998,185.669998,10774500
FB,9/3/19,184,185.669998,182.110001,182.389999,182.389999,9779400
FB,9/4/19,184.649994,187.75,183.889999,187.139999,187.139999,11308000
FB,9/5/19,188.529999,191.360001,187.940002,190.899994,190.899994,13876700
FB,9/6/19,190.210007,190.210007,186.350006,187.490005,187.490005,15226800
FB,9/9/19,187.729996,188.979996,185.850006,188.759995,188.759995,14722400
FB,9/10/19,187.440002,188.100006,184.550003,186.169998,186.169998,15455900
FB,9/11/19,186.460007,189.440002,186.080002,188.490005,188.490005,11761700
FB,9/12/19,189.860001,190.929993,187.229996,187.470001,187.470001,11419800
FB,9/13/19,187.330002,187.970001,186.539993,187.190002,187.190002,11441100
FB,9/16/19,186.929993,187.789993,185.770004,186.220001,186.220001,8444800
FB,9/17/19,186.660004,188.320007,185.539993,188.080002,188.080002,9671100
FB,9/18/19,188.089996,189.080002,186.009995,188.139999,188.139999,9681900
FB,9/19/19,188.660004,191.100006,188.149994,190.139999,190.139999,10392700
FB,9/20/19,190.660004,193.100006,188.119995,189.929993,189.929993,19934200
FB,9/23/19,189.339996,190.100006,185.210007,186.820007,186.820007,13327600
FB,9/24/19,187.979996,188.039993,180.389999,181.279999,181.279999,18546600
FB,9/25/19,181.449997,183.419998,177.869995,182.800003,182.800003,18068300
FB,9/26/19,181.330002,181.399994,177.669998,180.110001,180.110001,16083300
FB,9/27/19,180.490005,180.759995,175.660004,177.100006,177.100006,14656200
FB,9/30/19,177.869995,178.669998,176.850006,178.080002,178.080002,10740000
FB,10/1/19,179.149994,179.839996,174.880005,175.809998,175.809998,17073000
FB,10/2/19,174.839996,176.529999,173.089996,174.600006,174.600006,16151700
FB,10/3/19,175.570007,179.839996,173.630005,179.380005,179.380005,16086300
FB,10/4/19,179.550003,180.979996,178.100006,180.449997,180.449997,10430200
FB,10/7/19,180,181.179993,178.089996,179.679993,179.679993,9178300
FB,10/8/19,178.259995,180.369995,177.720001,177.75,177.75,9466900
FB,10/9/19,179.160004,180.720001,177.940002,179.850006,179.850006,7556900
FB,10/10/19,180.320007,181.610001,179.169998,180.029999,180.029999,8605000
FB,10/11/19,182.149994,186.490005,182.139999,184.190002,184.190002,14930500
FB,10/14/19,184.199997,184.619995,182.570007,183.279999,183.279999,7006000
FB,10/15/19,183.800003,190.380005,183.660004,188.889999,188.889999,15039100
FB,10/16/19,188.320007,189.699997,186.899994,189.550003,189.550003,10516900
FB,10/17/19,190.300003,190.839996,188.770004,190.389999,190.389999,9603000
FB,10/18/19,190.229996,191.490005,183.919998,185.850006,185.850006,16874200
FB,10/21/19,187.039993,189.910004,186.75,189.759995,189.759995,8122600
FB,10/22/19,190,190.649994,181.5,182.339996,182.339996,19537600
FB,10/23/19,182.009995,186.380005,182,186.149994,186.149994,12300400
FB,10/24/19,184.619995,186.729996,182.800003,186.380005,186.380005,11413500
FB,10/25/19,185.830002,189,185.089996,187.889999,187.889999,8061200
FB,10/28/19,187.199997,189.529999,185.080002,189.399994,189.399994,13657900
FB,10/29/19,191.690002,192.529999,188.470001,189.309998,189.309998,13574900
FB,10/30/19,189.559998,190.449997,185.979996,188.25,188.25,28734600
FB,10/31/19,196.699997,198.089996,188.25,191.649994,191.649994,42286500
FB,11/1/19,192.850006,194.110001,189.910004,193.619995,193.619995,21711800
FB,11/4/19,194.550003,197.369995,193.809998,194.720001,194.720001,16371300
FB,11/5/19,195.369995,195.75,193.600006,194.320007,194.320007,9942000
FB,11/6/19,194.029999,194.369995,191.350006,191.550003,191.550003,10973000
FB,11/7/19,191.910004,193.440002,189.470001,190.419998,190.419998,13473000
FB,11/8/19,190,192.339996,189.699997,190.839996,190.839996,10760800
FB,11/11/19,189.929993,190.080002,188.539993,189.610001,189.610001,8631200
FB,11/12/19,190,195.059998,189.740005,194.470001,194.470001,17615500
FB,11/13/19,194.699997,195.699997,192.740005,193.190002,193.190002,10860700
FB,11/14/19,192.929993,194.029999,191.449997,193.149994,193.149994,9040500
FB,11/15/19,194.259995,195.300003,193.380005,195.100006,195.100006,11524300
FB,11/18/19,194.559998,198.630005,193.050003,197.399994,197.399994,16167200
FB,11/19/19,197.399994,200,196.860001,199.320007,199.320007,19056800
FB,11/20/19,198.580002,199.589996,195.429993,197.509995,197.509995,12355400
FB,11/21/19,197.419998,199.089996,196.860001,197.929993,197.929993,12131000
FB,11/22/19,198.380005,199.300003,197.619995,198.820007,198.820007,9959800
FB,11/25/19,199.520004,200.970001,199.25,199.789993,199.789993,15272300
FB,11/26/19,200,200.149994,198.039993,198.970001,198.970001,11735500
FB,11/27/19,199.899994,203.139999,199.419998,202,202,12736600
FB,11/29/19,201.600006,203.800003,201.210007,201.639999,201.639999,7985200
FB,12/2/19,202.130005,202.179993,198.050003,199.699997,199.699997,11503400
FB,12/3/19,197.600006,198.929993,195.080002,198.820007,198.820007,11595300
FB,12/4/19,200,200.029999,198.050003,198.710007,198.710007,8456300
FB,12/5/19,199.860001,201.289993,198.210007,199.360001,199.360001,9740400
FB,12/6/19,200.5,201.570007,200.059998,201.050003,201.050003,12270600
FB,12/9/19,200.649994,203.139999,200.210007,201.339996,201.339996,11954800
FB,12/10/19,201.660004,202.050003,200.149994,200.869995,200.869995,9475700
FB,12/11/19,200.279999,202.630005,200.279999,202.259995,202.259995,8036800
FB,12/12/19,202.350006,203.660004,194.100006,196.75,196.75,23734800
FB,12/13/19,196.399994,196.800003,193.169998,194.110001,194.110001,18798000
FB,12/16/19,195.270004,199.119995,194.809998,197.919998,197.919998,14911500
FB,12/17/19,198.839996,199,196.130005,198.389999,198.389999,10175700
FB,12/18/19,200.089996,204.300003,200.089996,202.5,202.5,23274400
FB,12/19/19,202.779999,206.300003,202.509995,206.059998,206.059998,16514600
FB,12/20/19,207.479996,207.710007,203.429993,206.300003,206.300003,27306900
FB,12/23/19,206.699997,208.589996,205.679993,206.179993,206.179993,13348900
FB,12/24/19,206.300003,206.789993,205,205.119995,205.119995,6046300
FB,12/26/19,205.570007,207.820007,205.309998,207.789993,207.789993,9350700
FB,12/27/19,208.669998,208.929993,206.589996,208.100006,208.100006,10284200
FB,12/30/19,207.860001,207.899994,203.899994,204.410004,204.410004,10524300
FB,12/31/19,204,205.559998,203.600006,205.25,205.25,8953500
FB,1/2/20,206.75,209.789993,206.270004,209.779999,209.779999,12077100
FB,1/3/20,207.210007,210.399994,206.949997,208.669998,208.669998,11188400
FB,1/6/20,206.699997,212.779999,206.520004,212.600006,212.600006,17058900
FB,1/7/20,212.820007,214.580002,211.75,213.059998,213.059998,14912400
FB,1/8/20,213,216.240005,212.610001,215.220001,215.220001,13475000
FB,1/9/20,217.539993,218.380005,216.279999,218.300003,218.300003,12642800
FB,1/10/20,219.199997,219.880005,217.419998,218.059998,218.059998,12119400
FB,1/13/20,219.600006,221.970001,219.210007,221.910004,221.910004,14463400
FB,1/14/20,221.610001,222.380005,218.630005,219.059998,219.059998,13288900
FB,1/15/20,220.610001,221.679993,220.139999,221.149994,221.149994,10036500
FB,1/16/20,222.570007,222.630005,220.389999,221.770004,221.770004,10015300
FB,1/17/20,222.029999,222.289993,220.529999,222.139999,222.139999,15905900
FB,1/21/20,222.160004,222.369995,219.119995,221.440002,221.440002,14275800
FB,1/22/20,222.309998,222.75,221.279999,221.320007,221.320007,12212800
FB,1/23/20,220.75,221.490005,219.270004,219.759995,219.759995,11195000
FB,1/24/20,220.800003,221.779999,216.110001,217.940002,217.940002,11905800
FB,1/27/20,213.100006,216.059998,212.5,214.869995,214.869995,13810700
FB,1/28/20,216.139999,218.740005,213.520004,217.789993,217.789993,13413800
FB,1/29/20,221.440002,224.199997,218.449997,223.229996,223.229996,33181300
FB,1/30/20,206.529999,211.429993,204.75,209.529999,209.529999,48775500
FB,1/31/20,208.429993,208.690002,201.059998,201.910004,201.910004,31359900
FB,2/3/20,203.440002,205.139999,202.5,204.190002,204.190002,15495600
FB,2/4/20,206.619995,210.600006,205.199997,209.830002,209.830002,19628900
FB,2/5/20,212.509995,212.729996,208.710007,210.110001,210.110001,12538200
FB,2/6/20,210.470001,211.190002,209.339996,210.850006,210.850006,10567500
FB,2/7/20,210.300003,212.820007,209.929993,212.330002,212.330002,12242500
FB,2/10/20,211.520004,213.800003,210.660004,213.059998,213.059998,11856400
FB,2/11/20,210.190002,210.860001,206.509995,207.190002,207.190002,25030800
FB,2/12/20,207.850006,211.220001,207.399994,210.759995,210.759995,13813700
FB,2/13/20,209.520004,214.330002,209.179993,213.139999,213.139999,15396600
FB,2/14/20,214,214.929993,212.649994,214.179993,214.179993,10741700
FB,2/18/20,213.550003,217.979996,213.399994,217.800003,217.800003,15609200
FB,2/19/20,217.990005,218.320007,216.110001,217.490005,217.490005,12135100
FB,2/20/20,216.520004,218.770004,212.949997,214.580002,214.580002,13109200
FB,2/21/20,213.479996,214.240005,208.830002,210.179993,210.179993,14092300
FB,2/24/20,201.800003,203.649994,198.169998,200.720001,200.720001,23080100
FB,2/25/20,202.25,203.5,195.949997,196.770004,196.770004,21433500
FB,2/26/20,197.190002,201.210007,195.490005,197.199997,197.199997,16524500
FB,2/27/20,191.820007,195.880005,189.5,189.75,189.75,21682600
FB,2/28/20,182.699997,192.740005,181.820007,192.470001,192.470001,32568900
FB,3/2/20,194.029999,196.570007,188.850006,196.440002,196.440002,24949000
FB,3/3/20,196.220001,197.240005,183.970001,185.889999,185.889999,27984100
FB,3/4/20,189.169998,191.830002,186.389999,191.759995,191.759995,23062500
FB,3/5/20,186.779999,188.990005,183.889999,185.169998,185.169998,19333400
FB,3/6/20,178.330002,183.779999,176.259995,181.089996,181.089996,24559600
FB,3/9/20,169.600006,175,165.190002,169.5,169.5,29949000
FB,3/10/20,174.669998,178.289993,169.5,178.190002,178.190002,24517800
FB,3/11/20,174.009995,175.880005,167.660004,170.240005,170.240005,20373900
FB,3/12/20,159.539993,166.600006,154.339996,154.470001,154.470001,43266300
FB,3/13/20,163.529999,170.789993,157.600006,170.279999,170.279999,35028600
FB,3/16/20,152.320007,159.130005,143.100006,146.009995,146.009995,39120400
FB,3/17/20,150.740005,153.940002,140,149.419998,149.419998,34255600
FB,3/18/20,139.75,148.179993,137.100006,146.960007,146.960007,37553100
FB,3/19/20,146.619995,159.929993,144.800003,153.130005,153.130005,39862300
FB,3/20/20,156.020004,159.270004,148,149.729996,149.729996,32568400
FB,3/23/20,149.660004,152.309998,142.25,148.100006,148.100006,29830800
FB,3/24/20,155.210007,161.309998,152.570007,160.979996,160.979996,30440400
FB,3/25/20,158.919998,162.990005,153.059998,156.210007,156.210007,35184300
FB,3/26/20,158.25,164,157.020004,163.339996,163.339996,26556800
FB,3/27/20,158.199997,160.089996,154.75,156.789993,156.789993,24879900
FB,3/30/20,159.179993,166.75,158.059998,165.949997,165.949997,22515200
FB,3/31/20,165.479996,170.929993,164.199997,166.800003,166.800003,23676300
FB,4/1/20,161.619995,164.149994,158.039993,159.600006,159.600006,19507600
FB,4/2/20,159.100006,161.350006,155.919998,158.190002,158.190002,20886300
FB,4/3/20,157.149994,157.910004,150.830002,154.179993,154.179993,25983300
FB,4/6/20,160.149994,166.199997,158.509995,165.550003,165.550003,28453600
FB,4/7/20,171.789993,173.389999,166.009995,168.830002,168.830002,31411900
FB,4/8/20,171.25,175,167.740005,174.279999,174.279999,21664200
FB,4/9/20,175.899994,177.080002,171.570007,175.190002,175.190002,23534300
FB,4/13/20,173.669998,175,169.449997,174.789993,174.789993,19355400
FB,4/14/20,178.979996,181.229996,176.619995,178.169998,178.169998,21011800
FB,4/15/20,175.190002,178.190002,172.820007,176.970001,176.970001,17423000
FB,4/16/20,177.949997,178.050003,172.509995,176.25,176.25,23593200
FB,4/17/20,179.199997,180.279999,176.660004,179.240005,179.240005,20974800
FB,4/20/20,177.410004,180.5,176.770004,178.240005,178.240005,16110700
FB,4/21/20,175.25,175.380005,168.339996,170.800003,170.800003,24850500
FB,4/22/20,178.449997,184.779999,178.139999,182.279999,182.279999,33242000
FB,4/23/20,184.080002,187.050003,183.149994,185.130005,185.130005,21426600
FB,4/24/20,183.229996,190.410004,180.830002,190.070007,190.070007,28792000
FB,4/27/20,192.660004,193.75,187.410004,187.5,187.5,29197800
FB,4/28/20,188.660004,189.199997,182.559998,182.910004,182.910004,21731000
FB,4/29/20,190.929993,196.910004,190,194.190002,194.190002,45954500
FB,4/30/20,206.919998,209.690002,201.570007,204.710007,204.710007,46230100
FB,5/1/20,201.600006,207.279999,199.050003,202.270004,202.270004,30415600
FB,5/4/20,200.199997,205.910004,198.759995,205.259995,205.259995,19250700
FB,5/5/20,207.020004,210.380005,206.5,207.070007,207.070007,21071200
FB,5/6/20,208.119995,211.600006,206.660004,208.470001,208.470001,21857000
FB,5/7/20,211.160004,211.600006,209.039993,211.259995,211.259995,15152000
FB,5/8/20,212.240005,213.210007,210.850006,212.350006,212.350006,12506000
FB,5/11/20,210.889999,215,210.369995,213.179993,213.179993,12911900
FB,5/12/20,213.289993,215.279999,210,210.100006,210.100006,14704600
FB,5/13/20,209.429993,210.779999,202.110001,205.100006,205.100006,20684600
FB,5/14/20,202.559998,206.929993,200.690002,206.809998,206.809998,17178900
FB,5/15/20,205.270004,211.339996,204.119995,210.880005,210.880005,19383200
FB,5/18/20,212.149994,214.639999,210.940002,213.190002,213.190002,20151900
FB,5/19/20,213.270004,220.490005,212.830002,216.880005,216.880005,31843200
FB,5/20/20,223.5,231.339996,223.190002,229.970001,229.970001,50162900
FB,5/21/20,234.720001,237.199997,231.199997,231.389999,231.389999,47782600
FB,5/22/20,231.509995,235.990005,228.740005,234.910004,234.910004,33925600
FB,5/26/20,239.770004,240.899994,231.669998,232.199997,232.199997,33178300
FB,5/27/20,229.070007,230.559998,221.130005,229.139999,229.139999,34697600
FB,5/28/20,224.300003,231.630005,224,225.460007,225.460007,29377200
FB,5/29/20,225.199997,227.490005,222.880005,225.089996,225.089996,23241500
FB,6/1/20,224.589996,232.440002,223.5,231.910004,231.910004,18223800
FB,6/2/20,230.940002,233,226.559998,232.720001,232.720001,20919000
FB,6/3/20,232.110001,232.649994,228.529999,230.160004,230.160004,15380300
FB,6/4/20,229.559998,231.630005,224.610001,226.289993,226.289993,17041500
FB,6/5/20,226.710007,231.350006,225.309998,230.770004,230.770004,16750400
FB,6/8/20,229.029999,231.550003,227.410004,231.399994,231.399994,15466500
FB,6/9/20,231.520004,239.770004,230.410004,238.669998,238.669998,27462900
FB,6/10/20,240.960007,241.210007,235.279999,236.729996,236.729996,20720700
FB,6/11/20,229.940002,232.889999,223.550003,224.429993,224.429993,26708200
FB,6/12/20,229.899994,231.660004,224.5,228.580002,228.580002,22091400
FB,6/15/20,225.089996,233.770004,224.800003,232.5,232.5,15340300
FB,6/16/20,237.139999,238.460007,233,235.649994,235.649994,15236700
FB,6/17/20,235,237.589996,231.729996,235.529999,235.529999,19578100
FB,6/18/20,234.990005,236.139999,232.149994,235.940002,235.940002,15782500
FB,6/19/20,237.789993,240.830002,235.550003,238.789993,238.789993,30081300
